,type,date,review,rating,geo,geo_2,coordinate,lon,lat,year
19484,indeed,2019-12-31,"Productive and fun workplace Enedis is one of the best frensh companies in terms of the human care and of professional career processing. At Enedis, you can be productive, you can develop your skills and you can manage your time to have a good scale between your private life and your Professional life.",5.0,Nanterre,nanterre,"[2.202314, 48.898095]",2.202314,48.898095,2019
19485,indeed,2023-06-07,"Lieu de travail adapté et poste challengeant En contrat d’alternance durant 2 ans, j’ai eu l’opportunité de gerer des projets de l’analyse des besoins de chaque client à la livraison finale du projet.",4.0,Paris (75),paris,"[2.347, 48.859]",2.347,48.859,2023
19488,indeed,2023-05-23,"Entreprise conseillée L'entreprise a un bon fonctionnement et une bonne ambiance de travail. Les managers sont à l'écoute et l'évolution professionnelle n'est pas impossible, au contraire elle est valorisée.",4.0,Montpellier (34),montpellier,"[3.87048, 43.610476]",3.87048,43.610476,2023
19489,indeed,2023-05-14,"Très bonne entreprise où l'on est choyée RAS, grande entreprise mais ambiance familiale. Très à l'écoute pour concilier vie perso ET vie pro. Une équipe au top et des possibilités d'évolution tous les 4 ans en moyenne.",5.0,Guyancourt (78),guyancourt,"[2.069679, 48.772925]",2.069679,48.772925,2023
19490,indeed,2023-05-09,Bien Confiance du manager c'est bien.           Habilitation facile à obtenir.                         Bonne esprit d'équipe.                         Je recommande,4.0,Givors (69),givors,"[4.755839, 45.582983]",4.755839,45.582983,2023
19492,indeed,2023-05-02,"Environnement agréable L’entreprise est attractif de part sa notoriété et l’exclusivité du métier proposé, mais malheureusement l’organisation au sein de l’entreprise est très limité dans le sens ou une personne dynamique fini frustrée de part l’organisation de l’entreprise qui à tendance à ne pas être compétitive et dans l’air du temps.",3.0,Paris (75),paris,"[2.347, 48.859]",2.347,48.859,2023
19493,indeed,2023-05-02,"belle expérience cdi intérimaire de 3 ans, une super ambiance et un travail très intéressant et formateur .",4.0,Bayonne (64),bayonne,"[-1.466564, 43.488544]",-1.466564,43.488544,2023
19494,indeed,2023-04-26,"Manque d'autonomie Aucune possibilité d'avoir de l’autonomie  malgré un métier de chargé d'affaires, tout les faits et geste sont soumis à des tableaux excel pour répondre à des indicateurs (complétude vert ou rouge) aucun sens ...",2.0,Reims (51),reims,"[4.055595, 49.250948]",4.055595,49.250948,2023
19496,indeed,2023-04-21,"Avis global Enedis Aquitaine Nord Service avec un turn over interimaire énorme, recruté en permanence pour palier le manque d effectif, sans espoir de recrutement définitif, c'est un réel choix stratégique depuis des années: main d'oeuvre à bas coût !",2.0,Mérignac (33),mrignac,"[-0.354007, 45.831455]",-0.354007,45.831455,2023
19497,indeed,2023-04-19,Bonne expérience Bonne expérience passé au sein de cette entreprise. Une culture bienveillante et de réelles opportunités d'évolution. Discussion ouverte et transparente avec la direction.,4.0,Paris 12e (75),parise,"[1.291913, 43.176055]",1.291913,43.176055,2023
19498,indeed,2023-04-14,Environnement très agréable Equipes à l’écoute et toujours disponibles pour former et monter en compétence.,5.0,Vienne (38),vienne,"[1.125303, 45.802269]",1.125303,45.802269,2023
19501,indeed,2023-04-11,soit tu et un mouton soit tu bouge Dommage pour Enedis mon expérience c’est terminé très mal ! En soit le poste et super le travail aussi mtn niveau relationnel et professionnalisme tout et à revoir en particulier pour Julien hosdey ARE responsable qui vous montre une image du chef super mielleux et pédagogue lol en début de mission et par la suite une autre image qui joue selon c’est humeurs et c’est tête ! Dommage ! Si vous êtes avez du caractère et que vous ne vous laissez pas faire sa devient une personne avec un ego surdimensionner et très fière et ducoup le chef pédagogue et mielleux du début disparaît :),1.0,Valenciennes (59),valenciennes,"[3.510438, 50.358552]",3.510438,50.358552,2023
19502,indeed,2023-04-10,Excellente entreprise Excellente entreprise pour apprendre et développer ses compétence. Environnement de travail sain.,5.0,Paris,paris,"[2.347, 48.859]",2.347,48.859,2023
19503,indeed,2023-04-08,Bonne experience Bonne ambiance de travail mais fait appel régulièrement a des contrats courts ou intérimaires,4.0,Brest (29),brest,"[-4.497736, 48.406435]",-4.497736,48.406435,2023
19504,indeed,2023-04-06,"Alternance au top Super alternance, horaires souples, nombreux avantages et mieux payés si on prépare un bac +5 (82% du smic). Aides non négligeables.",4.0,Nice (06),nice,"[7.250987, 43.713012]",7.250987,43.713012,2023
19505,indeed,2019-12-31,"Productive and fun workplace Enedis is one of the best frensh companies in terms of the human care and of professional career processing. At Enedis, you can be productive, you can develop your skills and you can manage your time to have a good scale between your private life and your Professional life.",5.0,Nanterre,nanterre,"[2.202314, 48.898095]",2.202314,48.898095,2019
19507,indeed,2023-03-30,Très bonne expérience professionnelle J'ai effectué mon bachelor RH chez Enedis et cela a été une très bonne expérience. Une entreprise avec de très bonnes valeurs qui veille au bien-être et à la sécurité de ses salariés. Entreprise dans laquelle il est possible d'évoluer et de toucher à beaucoup de missions. Je recommande fortement.,5.0,Poitiers (86),poitiers,"[0.356849, 46.586616]",0.356849,46.586616,2023
19508,indeed,2023-03-29,Ni égalité ni mixité Regrettable mais vécue une expérience au cœur du service public où l'humain n'est respecté que si légitimé en tant que blanc et de sexe masculin. Au sein de la cellule où j'ai pu évoluer certains agents statutaires affichaient clairement leurs positions politiques RN tandis que d'autres proclamaient la promotion canapé. De plus l'intérimaire n'est ni respecté ni valorisė... c'est l'esclavage moderne au service de la précarité.,1.0,Le Cannet (06),lecannet,"[-0.667446, 49.08306]",-0.667446,49.08306,2023
19512,indeed,2023-03-24,Intérim sans avenir dans la fibre + plein de RTT,2.0,Vienne (38),vienne,"[1.125303, 45.802269]",1.125303,45.802269,2023
19513,indeed,2023-03-20,"Une entreprise de service public Actuellement en poste chez ENEDIS, service AIS, je recommande à tous jeunes voulant faire carrière dans l’énergie de postuler chez nous. Les possibilités qu’offre l’entreprise pour la carrière de ses salariés est immense. Des métiers très intéressants et variés pour les curieux.",5.0,Bourges,bourges,"[1.861995, 42.962794]",1.861995,42.962794,2023
19514,indeed,2023-03-20,Super entreprise En contrat d'intérim pour 18 mois. SUPER EXPÉRIENCE.,5.0,Brest (29),brest,"[-4.497736, 48.406435]",-4.497736,48.406435,2023
19515,indeed,2023-03-18,Très bonne entreprise J'ai effectuée deux missions d'intérim dans 2 services différents et ce fut ma meilleure expérience professionnelle.beaucoup de bienveillance et on est très vite intégrées dans l'équipe,5.0,Lyon (69),lyon,"[4.835, 45.758]",4.835,45.758,2023
19517,indeed,2023-03-10,"Travail agréable Travail agréable, pas d'embauche au bout de 3 ans en intérim, dommage qu'ils ne reconnaissent pas les talents auprès des intérimaires",4.0,Marseille (13),marseille,"[5.405, 43.282]",5.405,43.282,2023
19518,indeed,2023-03-03,agréable Travail de stage première expérience pour le stage d'ingénieur première année dans un contexte particulier post covid. Le travail était agréable bien qu'un peu répétitif.,5.0,Paris 13e (75),parise,"[1.291913, 43.176055]",1.291913,43.176055,2023
19519,indeed,2023-03-03,Chef d'équipe à nantes Très bonne ambiance.                                                                                               Vraiment je recommande cette entreprise,5.0,Nantes (44),nantes,"[-1.555335, 47.239367]",-1.555335,47.239367,2023
19520,indeed,2023-03-01,"Travail intéressant Une responsable de pôle bienveillante, à l’écoute de ses agents au détriment d’une manager arriviste, acariâtre, volubile avec un seul crédo…Diviser pour mieux régner.",2.0,Narbonne,narbonne,"[0.649303, 47.31119]",0.649303,47.31119,2023
19521,indeed,2023-02-28,"Superbe expérience avec ENEDIS ! Très satisfait de mon expérience chez Enedis en tant que conseiller clients et fournisseurs. Très bonne ambiance de travail, bienveillance et confiance. On ne peut aller travailler qu'avec envie et plaisir chez Enedis.",5.0,Tarbes (65),tarbes,"[0.065776, 43.239085]",0.065776,43.239085,2023
19522,indeed,2023-02-23,"Bonne ambiance Tres bonne expérience des collaborateurs  à l’écoute. Bonne ambiance de travail, la formation c’est super bien passer le seul  point négatif peu de proposition d’évolution en interne",5.0,Toulouse (31),toulouse,"[1.433805, 43.604082]",1.433805,43.604082,2023
19523,indeed,2023-02-23,Organisation Mal organisée dans la montée en compétences de son personnel.,3.0,Le Mans (72),lemans,"[-2.911163, 48.525144]",-2.911163,48.525144,2023
19526,indeed,2019-12-31,"Productive and fun workplace Enedis is one of the best frensh companies in terms of the human care and of professional career processing. At Enedis, you can be productive, you can develop your skills and you can manage your time to have a good scale between your private life and your Professional life.",5.0,Nanterre,nanterre,"[2.202314, 48.898095]",2.202314,48.898095,2019
19527,indeed,2023-01-16,"Bonne ambiance de travail Une merveilleuse culture d'entreprise. J'ai appris beaucoup, j'apprécie toujours notre patron en ING qui était un leader ouvert. Il était présent, à l'écoute et ayant un vocabulaire correct.",5.0,Tours (37),tours,"[0.69472, 47.395476]",0.69472,47.395476,2023
19528,indeed,2023-01-12,Environnement agréable Très bonne expérience entreprise à l’écoute des salariés,5.0,Lyon (69),lyon,"[4.835, 45.758]",4.835,45.758,2023
19529,indeed,2023-01-12,"Très bonne entreprise Très formateur pour l’alternance, bien-être au travail assuré.",5.0,Paris (75),paris,"[2.347, 48.859]",2.347,48.859,2023
19530,indeed,2023-01-10,Salarié polyvalent En contrat de durée déterminer j'ai passé une bonne expérience niveau travail et ambiance je compte m'engager pour un cdi en espérant évoluer rapidement,5.0,Avignon (84),avignon,"[-1.759717, 48.390709]",-1.759717,48.390709,2023
19531,indeed,2022-12-30,Environnement de travail agréable Bonne ambiance bien aide si l on a besoin bien pour tout les épi et outillages,5.0,Antibes (06),antibes,"[7.103245, 43.582206]",7.103245,43.582206,2022
19532,indeed,2022-12-25,"Salaire très bas Salaire très bas évolution de carrière extrêmement lent à moins d'être un faillot puissance 1000, plus tu es c** et plus tu évolue..",1.0,Cergy (95),cergy,"[2.046317, 49.042161]",2.046317,49.042161,2022
19533,indeed,2022-12-18,Expérience très enrichissante Formation en interne très efficace ce qui est un point non négligeable pour la jeune génération.,5.0,Limoges (87),limoges,"[1.221254, 45.856159]",1.221254,45.856159,2022
19534,indeed,2022-12-17,"Bon accueil, bonne ambiance 8h30-16h30",4.0,Dijon (21),dijon,"[5.034852, 47.331938]",5.034852,47.331938,2022
19535,indeed,2022-12-14,"Très bonne expérience Contrat intérimaire, très bonne expérience professionnel. Bonne ambiance et autonomie.",5.0,Tarbes (65),tarbes,"[0.065776, 43.239085]",0.065776,43.239085,2022
19536,indeed,2022-11-28,Conseillère clientele Au top,5.0,Hyères (83),hyres,"[0.636156, 48.962585]",0.636156,48.962585,2022
